complaint_id,complaint_time,fraud_type,fraud_amount,victim_city,time_to_withdrawal,withdrawal_city,is_high_risk
CMP_100076,2023-11-29 04:39:43,UPI Fraud,50420.14,Hyderabad,19,Hyderabad,1
CMP_100077,2024-12-03 22:53:59,Phishing,64901.76,Delhi,816,Delhi,0
CMP_100078,2023-04-26 00:40:05,Online Shopping Scam,47524.51,Chennai,145,Chennai,0
CMP_100079,2024-11-29 06:13:46,OTP Scam,75024.16,Chennai,115,Delhi,1
CMP_100080,2024-06-13 23:22:40,UPI Fraud,96698.83,Bengaluru,104,Bengaluru,1
CMP_100081,2024-04-27 01:58:08,Online Shopping Scam,8459.28,Chennai,544,Kolkata,0
CMP_100082,2024-09-13 06:58:29,UPI Fraud,49042.71,Mumbai,117,Mumbai,0
CMP_100083,2023-05-20 07:31:30,Credit Card Fraud,468715.84,Lucknow,740,Bengaluru,0
CMP_100084,2023-11-16 18:53:22,Credit Card Fraud,57616.48,Pune,568,Pune,0
CMP_100085,2024-09-03 13:43:28,UPI Fraud,26162.2,Lucknow,53,Mumbai,0
CMP_100086,2024-10-28 21:20:17,UPI Fraud,85018.31,Indore,30,Kolkata,1
CMP_100087,2023-08-26 01:10:12,UPI Fraud,81126.75,Bengaluru,116,Mumbai,1
CMP_100088,2023-05-31 00:12:00,OTP Scam,91410.81,Lucknow,40,Kolkata,1
CMP_100089,2023-08-05 19:16:01,Credit Card Fraud,401164.64,Delhi,1103,Delhi,0
CMP_100090,2024-10-17 06:59:02,Phishing,40281.6,Bengaluru,116,Bengaluru,0
CMP_100091,2023-07-22 02:02:15,UPI Fraud,38182.71,Mumbai,18,Mumbai,0
CMP_100092,2023-09-26 12:04:29,UPI Fraud,67530.59,Bengaluru,45,Bengaluru,1
CMP_100093,2023-03-31 19:47:37,Credit Card Fraud,275895.87,Pune,1240,Pune,0
CMP_100094,2023-02-04 11:25:29,Credit Card Fraud,24945.12,Hyderabad,63,Hyderabad,0
CMP_100095,2024-09-18 10:27:08,Phishing,31023.29,Chennai,1433,Chennai,0
CMP_100096,2023-12-01 03:39:58,Credit Card Fraud,387296.84,Chennai,702,Chennai,0
CMP_100097,2023-04-07 19:11:03,Credit Card Fraud,422591.31,Hyderabad,675,Hyderabad,0
CMP_100098,2024-06-01 23:47:05,UPI Fraud,70251.71,Jaipur,56,Delhi,1
CMP_100099,2023-05-30 00:09:30,Online Shopping Scam,71744.92,Bengaluru,836,Bengaluru,0
CMP_100100,2024-12-02 02:25:54,OTP Scam,27812.39,Lucknow,75,Kolkata,0
CMP_100101,2023-08-25 04:50:22,UPI Fraud,19249.03,Kolkata,79,Kolkata,0
CMP_100102,2023-09-08 07:09:39,UPI Fraud,69161.49,Delhi,61,Mumbai,1
CMP_100103,2024-09-08 12:18:00,Online Shopping Scam,44792.87,Pune,407,Pune,0
CMP_100104,2023-08-09 10:09:43,OTP Scam,66359.54,Chennai,86,Delhi,1
CMP_100105,2024-08-06 02:14:47,Online Shopping Scam,74051.79,Chennai,467,Chennai,0
CMP_100106,2023-02-05 05:39:10,Fake Loan App,215604.03,Lucknow,209,Lucknow,0
CMP_100107,2024-11-19 06:47:21,UPI Fraud,76026.76,Indore,29,Kolkata,1
CMP_100108,2023-11-07 22:57:09,Phishing,85690.6,Hyderabad,278,Chennai,0
CMP_100109,2023-06-19 05:03:40,Credit Card Fraud,57938.74,Chennai,1201,Chennai,0
CMP_100110,2024-10-20 00:51:08,Credit Card Fraud,94868.92,Chennai,1011,Chennai,0
CMP_100111,2024-03-10 03:07:21,UPI Fraud,61969.16,Chennai,101,Hyderabad,1
CMP_100112,2024-07-12 16:14:18,Phishing,38086.65,Lucknow,933,Bengaluru,0
CMP_100113,2024-03-01 13:04:24,Credit Card Fraud,429680.02,Chennai,385,Hyderabad,0
CMP_100114,2024-01-04 16:34:22,Fake Loan App,472506.89,Mumbai,566,Delhi,0
CMP_100115,2023-08-04 09:27:29,OTP Scam,64003.96,Hyderabad,71,Mumbai,1
CMP_100116,2023-12-08 02:15:10,Credit Card Fraud,72965.17,Bengaluru,616,Bengaluru,0
CMP_100117,2024-11-24 15:13:36,OTP Scam,62968.03,Delhi,22,Delhi,1
CMP_100118,2023-04-29 16:29:47,Fake Loan App,111275.34,Mumbai,191,Mumbai,0
CMP_100119,2023-09-15 00:04:34,Phishing,62207.13,Kolkata,911,Kolkata,0
CMP_100120,2024-10-08 22:13:00,Phishing,32578.59,Lucknow,1256,Lucknow,0
CMP_100121,2023-01-16 04:06:07,Phishing,81632.38,Indore,1239,Indore,0
CMP_100122,2023-01-05 13:54:39,Credit Card Fraud,349516.28,Mumbai,671,Jaipur,0
CMP_100123,2024-10-24 21:25:22,OTP Scam,80544.61,Indore,111,Indore,1
CMP_100124,2024-02-29 04:38:38,Credit Card Fraud,217500.76,Jaipur,511,Jaipur,0
CMP_100125,2023-07-31 23:52:58,OTP Scam,99060.01,Hyderabad,8,Hyderabad,1
CMP_100126,2024-09-11 22:27:04,UPI Fraud,77864.88,Jaipur,26,Kolkata,1
CMP_100127,2024-04-28 07:42:37,Online Shopping Scam,85982.86,Delhi,866,Delhi,0
CMP_100128,2024-05-29 04:08:40,Fake Loan App,372555.29,Bengaluru,1005,Bengaluru,0
CMP_100129,2023-07-22 01:39:54,Phishing,90352.74,Hyderabad,493,Hyderabad,0
CMP_100130,2023-09-20 03:27:58,OTP Scam,32684.91,Bengaluru,53,Bengaluru,0
CMP_100131,2024-10-08 04:11:33,UPI Fraud,2072.93,Indore,111,Indore,0
CMP_100132,2023-01-16 01:19:50,OTP Scam,36135.61,Hyderabad,11,Bengaluru,0
CMP_100133,2023-09-29 23:49:01,Credit Card Fraud,50809.36,Chennai,1394,Chennai,0
CMP_100134,2023-01-25 02:26:27,UPI Fraud,33537.79,Chennai,30,Hyderabad,0
CMP_100135,2024-04-27 00:30:10,Online Shopping Scam,78348.31,Kolkata,1431,Kolkata,0
CMP_100136,2023-06-19 07:09:12,Phishing,49947.61,Kolkata,584,Lucknow,0
CMP_100137,2023-05-11 07:48:58,UPI Fraud,88882.71,Mumbai,100,Indore,1
CMP_100138,2023-05-08 04:48:57,OTP Scam,62203.59,Pune,18,Pune,1
CMP_100139,2024-03-23 05:37:44,Phishing,70395.94,Lucknow,828,Lucknow,0
CMP_100140,2024-07-09 01:06:24,UPI Fraud,89297.79,Mumbai,94,Chennai,1
CMP_100141,2024-04-11 08:29:01,Credit Card Fraud,124281.76,Jaipur,1219,Delhi,0
CMP_100142,2023-09-27 16:20:50,OTP Scam,24431.83,Kolkata,89,Kolkata,0
CMP_100143,2024-01-28 23:47:33,Online Shopping Scam,75584.44,Pune,85,Bengaluru,1
CMP_100144,2023-03-23 23:23:13,OTP Scam,56282.02,Lucknow,51,Lucknow,1
CMP_100145,2024-07-03 00:46:19,Online Shopping Scam,12008.55,Bengaluru,1128,Mumbai,0
CMP_100146,2023-07-29 18:42:02,Credit Card Fraud,37588.61,Jaipur,1162,Indore,0
CMP_100147,2023-12-28 01:52:30,OTP Scam,68422.9,Indore,98,Kolkata,1
CMP_100148,2023-07-10 16:21:41,Credit Card Fraud,50616.75,Delhi,237,Delhi,0
CMP_100149,2023-12-17 05:36:30,UPI Fraud,96359.03,Chennai,83,Mumbai,1
CMP_100150,2024-01-19 22:32:27,Online Shopping Scam,91992.46,Hyderabad,432,Hyderabad,0
CMP_100151,2023-10-03 14:25:00,Credit Card Fraud,484958.24,Mumbai,757,Mumbai,0
CMP_100152,2024-04-08 01:08:05,UPI Fraud,22464.1,Delhi,40,Delhi,0
CMP_100153,2024-02-06 06:37:47,Fake Loan App,296314.01,Kolkata,235,Kolkata,0
CMP_100154,2023-11-12 16:22:09,Phishing,28815.36,Jaipur,552,Jaipur,0
CMP_100155,2024-05-16 16:30:09,UPI Fraud,11568.85,Chennai,62,Jaipur,0
CMP_100156,2023-03-14 04:44:24,UPI Fraud,65037.99,Jaipur,36,Mumbai,1
CMP_100157,2024-01-03 14:12:53,UPI Fraud,27327.85,Chennai,49,Chennai,0
CMP_100158,2024-08-02 09:14:39,Online Shopping Scam,98634.86,Pune,780,Delhi,0
CMP_100159,2023-07-30 10:14:53,UPI Fraud,41709.47,Bengaluru,34,Bengaluru,0
CMP_100160,2023-05-30 14:01:53,OTP Scam,95030.19,Chennai,100,Chennai,1
CMP_100161,2023-05-24 05:17:35,Fake Loan App,214939.09,Jaipur,1267,Mumbai,0
CMP_100162,2024-02-12 11:56:24,Credit Card Fraud,90768.79,Jaipur,265,Delhi,0
CMP_100163,2023-08-19 00:19:03,OTP Scam,48556.64,Delhi,6,Chennai,0
CMP_100164,2023-04-09 22:35:38,OTP Scam,39905.96,Delhi,42,Delhi,0
CMP_100165,2023-04-09 02:01:13,OTP Scam,47400.62,Bengaluru,101,Bengaluru,0
CMP_100166,2024-11-08 02:30:30,Phishing,2353.52,Kolkata,1040,Kolkata,0
CMP_100167,2023-05-24 04:47:16,OTP Scam,81477.2,Chennai,37,Kolkata,1
CMP_100168,2024-09-30 05:04:47,Credit Card Fraud,386803.83,Chennai,1241,Chennai,0
CMP_100169,2023-02-11 02:05:44,OTP Scam,38407.2,Chennai,36,Chennai,0
CMP_100170,2024-08-16 18:15:31,Credit Card Fraud,73288.11,Bengaluru,1280,Hyderabad,0
CMP_100171,2023-06-25 07:06:47,UPI Fraud,67498.37,Mumbai,53,Kolkata,1
CMP_100172,2024-10-30 02:40:07,Phishing,67485.75,Mumbai,938,Mumbai,0
CMP_100173,2024-04-27 23:48:18,Credit Card Fraud,417372.03,Mumbai,485,Mumbai,0
CMP_100174,2023-07-25 13:21:40,OTP Scam,55638.78,Chennai,25,Mumbai,1
CMP_100175,2023-05-02 05:44:46,OTP Scam,40944.8,Kolkata,81,Kolkata,0
CMP_100176,2023-01-26 02:44:03,OTP Scam,62410.65,Mumbai,115,Mumbai,1
CMP_100177,2024-12-18 01:27:00,OTP Scam,90411.95,Mumbai,19,Mumbai,1
CMP_100178,2024-12-06 00:04:00,UPI Fraud,59401.85,Bengaluru,12,Kolkata,1
CMP_100179,2024-08-04 17:35:01,OTP Scam,55197.18,Delhi,41,Kolkata,1
CMP_100180,2023-08-25 04:40:14,UPI Fraud,62586.58,Bengaluru,39,Delhi,1
CMP_100181,2023-03-04 11:32:41,Online Shopping Scam,15560.27,Jaipur,944,Delhi,0
CMP_100182,2024-04-13 23:14:16,Credit Card Fraud,136539.75,Jaipur,1440,Chennai,0
CMP_100183,2024-03-22 18:29:18,Online Shopping Scam,49769.19,Bengaluru,102,Indore,0
CMP_100184,2024-06-06 04:14:13,Credit Card Fraud,296535.39,Pune,1240,Pune,0
CMP_100185,2024-08-10 05:58:22,Fake Loan App,98232.96,Hyderabad,629,Hyderabad,0
CMP_100186,2024-03-30 15:20:06,UPI Fraud,89782.05,Bengaluru,109,Kolkata,1
CMP_100187,2023-09-28 06:27:51,Fake Loan App,94436.74,Lucknow,717,Lucknow,0
CMP_100188,2024-10-28 04:44:13,UPI Fraud,82357.27,Mumbai,68,Mumbai,1
CMP_100189,2024-09-23 21:58:12,UPI Fraud,18524.04,Chennai,9,Chennai,0
CMP_100190,2023-09-02 23:49:29,Credit Card Fraud,271867.52,Lucknow,887,Mumbai,0
CMP_100191,2024-10-02 17:45:27,Phishing,33679.85,Indore,1406,Lucknow,0
CMP_100192,2023-12-25 19:51:47,OTP Scam,63162.14,Jaipur,29,Jaipur,1
CMP_100193,2024-01-23 04:35:05,OTP Scam,92166.37,Delhi,102,Mumbai,1
CMP_100194,2023-04-12 18:15:48,OTP Scam,9367.18,Bengaluru,61,Hyderabad,0
CMP_100195,2024-01-12 01:45:58,UPI Fraud,37676.74,Pune,25,Pune,0
CMP_100196,2023-01-11 14:54:37,UPI Fraud,76235.59,Jaipur,16,Jaipur,1
CMP_100197,2023-03-30 03:04:06,OTP Scam,7171.79,Jaipur,20,Jaipur,0
CMP_100198,2023-04-30 14:13:47,Phishing,69029.39,Kolkata,657,Kolkata,0
CMP_100199,2023-08-01 09:00:34,Credit Card Fraud,270735.61,Mumbai,1048,Lucknow,0
CMP_100200,2023-07-09 07:28:24,UPI Fraud,40319.22,Indore,23,Indore,0
CMP_100201,2024-12-17 00:52:04,OTP Scam,19046.1,Kolkata,100,Indore,0
CMP_100202,2024-11-02 04:21:46,OTP Scam,9831.23,Indore,105,Indore,0
CMP_100203,2024-09-29 02:53:03,OTP Scam,59765.65,Hyderabad,80,Hyderabad,1
CMP_100204,2024-11-03 05:22:35,UPI Fraud,65233.46,Mumbai,47,Kolkata,1
CMP_100205,2023-12-20 16:14:19,Credit Card Fraud,371043.01,Jaipur,446,Jaipur,0
CMP_100206,2023-07-05 11:39:28,UPI Fraud,13630.45,Indore,34,Chennai,0
CMP_100207,2023-11-16 05:45:10,UPI Fraud,64945.81,Mumbai,108,Mumbai,1
CMP_100208,2024-09-07 11:17:18,UPI Fraud,50326.52,Pune,24,Delhi,1
CMP_100209,2024-01-26 03:23:08,Online Shopping Scam,1745.9,Chennai,739,Pune,0
CMP_100210,2024-11-10 00:05:22,UPI Fraud,49293.17,Jaipur,17,Jaipur,0
CMP_100211,2023-12-21 00:26:24,OTP Scam,8943.14,Bengaluru,116,Bengaluru,0
CMP_100212,2023-04-30 02:21:06,Phishing,69999.18,Jaipur,1336,Jaipur,0
CMP_100213,2024-05-19 03:54:59,Phishing,40387.7,Hyderabad,1152,Hyderabad,0
CMP_100214,2023-09-03 22:59:30,Phishing,97531.65,Jaipur,1059,Pune,0
CMP_100215,2023-01-28 21:12:27,Fake Loan App,465394.23,Jaipur,540,Jaipur,0
CMP_100216,2024-12-16 01:47:45,Credit Card Fraud,420905.45,Chennai,245,Chennai,0
CMP_100217,2023-03-18 11:06:46,UPI Fraud,33044.24,Bengaluru,95,Hyderabad,0
CMP_100218,2023-12-11 02:57:03,Credit Card Fraud,128780.77,Delhi,119,Delhi,1
CMP_100219,2023-08-16 20:46:18,Fake Loan App,151428.97,Chennai,942,Chennai,0
CMP_100220,2024-02-17 13:39:28,Credit Card Fraud,466687.03,Bengaluru,428,Bengaluru,0
CMP_100221,2023-03-03 08:04:36,Phishing,34323.82,Lucknow,843,Lucknow,0
CMP_100222,2023-07-07 01:23:33,Credit Card Fraud,278971.77,Mumbai,1254,Mumbai,0
CMP_100223,2023-12-25 04:27:26,UPI Fraud,81177.57,Delhi,63,Kolkata,1
CMP_100224,2024-09-16 23:26:51,Fake Loan App,382511.65,Jaipur,649,Jaipur,0
CMP_100225,2023-05-03 03:37:44,Fake Loan App,399201.83,Delhi,672,Delhi,0
CMP_100226,2023-11-26 13:41:30,OTP Scam,74851.48,Mumbai,63,Kolkata,1
CMP_100227,2023-10-26 19:12:06,Online Shopping Scam,18942.07,Bengaluru,278,Bengaluru,0
CMP_100228,2024-03-20 05:24:42,Online Shopping Scam,72438.06,Jaipur,665,Indore,0
CMP_100229,2023-08-18 04:17:00,OTP Scam,80154.18,Bengaluru,6,Bengaluru,1
CMP_100230,2024-08-01 09:37:59,UPI Fraud,81642.9,Lucknow,82,Hyderabad,1
CMP_100231,2024-12-02 01:38:36,UPI Fraud,59242.36,Mumbai,107,Mumbai,1
CMP_100232,2024-04-27 00:40:00,OTP Scam,44474.36,Bengaluru,17,Pune,0
CMP_100233,2024-05-17 05:02:44,Credit Card Fraud,224984.89,Delhi,1246,Delhi,0
CMP_100234,2023-04-13 02:20:37,UPI Fraud,90057.88,Kolkata,100,Mumbai,1
CMP_100235,2024-09-02 21:39:41,Credit Card Fraud,454171.33,Bengaluru,809,Bengaluru,0
CMP_100236,2024-12-10 00:16:53,Credit Card Fraud,221448.79,Bengaluru,1046,Kolkata,0
CMP_100237,2023-08-18 05:50:07,OTP Scam,69678.04,Hyderabad,48,Mumbai,1
CMP_100238,2023-02-28 01:55:54,OTP Scam,79071.12,Pune,91,Indore,1
CMP_100239,2024-10-18 21:49:11,UPI Fraud,25600.42,Kolkata,51,Kolkata,0
CMP_100240,2023-11-03 23:29:10,Phishing,21249.91,Mumbai,814,Mumbai,0
CMP_100241,2024-06-06 04:52:27,OTP Scam,87799.8,Delhi,86,Mumbai,1
CMP_100242,2023-07-01 14:45:22,Credit Card Fraud,195622.57,Jaipur,1328,Hyderabad,0
CMP_100243,2024-03-12 01:23:31,UPI Fraud,79932.24,Chennai,83,Delhi,1
CMP_100244,2024-10-01 21:46:36,UPI Fraud,72503.0,Mumbai,94,Kolkata,1
CMP_100245,2023-04-19 22:19:56,Fake Loan App,350034.74,Hyderabad,1068,Hyderabad,0
CMP_100246,2023-07-02 08:59:23,OTP Scam,60303.91,Hyderabad,22,Kolkata,1
CMP_100247,2024-07-31 05:08:09,Online Shopping Scam,34909.9,Pune,1166,Pune,0
CMP_100248,2024-07-30 12:53:50,UPI Fraud,46738.57,Lucknow,118,Lucknow,0
CMP_100249,2023-03-18 21:53:49,Credit Card Fraud,257885.45,Indore,1320,Indore,0
CMP_100250,2023-08-06 03:13:03,UPI Fraud,72883.46,Hyderabad,61,Delhi,1
CMP_100251,2023-10-09 03:34:28,Online Shopping Scam,71016.62,Lucknow,1380,Lucknow,0
CMP_100252,2023-11-06 23:54:39,OTP Scam,38069.1,Indore,110,Indore,0
CMP_100253,2024-05-29 22:03:17,UPI Fraud,73907.98,Jaipur,105,Jaipur,1
CMP_100254,2024-09-03 06:20:06,OTP Scam,91157.93,Delhi,13,Delhi,1
CMP_100255,2024-03-31 01:21:22,UPI Fraud,19445.77,Kolkata,104,Kolkata,0
CMP_100256,2024-11-30 11:06:54,Online Shopping Scam,87119.74,Kolkata,627,Bengaluru,0
CMP_100257,2023-04-23 09:10:45,Credit Card Fraud,205511.32,Indore,1166,Indore,0
CMP_100258,2023-05-16 22:08:43,OTP Scam,21352.4,Indore,6,Indore,0
CMP_100259,2024-09-04 03:01:44,Phishing,34016.42,Hyderabad,416,Hyderabad,0
CMP_100260,2023-04-09 10:57:01,Credit Card Fraud,460729.25,Mumbai,1137,Mumbai,0
CMP_100261,2023-02-19 08:48:27,Credit Card Fraud,245610.12,Delhi,801,Delhi,0
CMP_100262,2023-03-26 16:54:50,Credit Card Fraud,26094.87,Bengaluru,513,Pune,0
CMP_100263,2023-02-03 16:22:58,UPI Fraud,50338.41,Pune,115,Delhi,1
CMP_100264,2024-05-14 16:44:22,Online Shopping Scam,36877.0,Pune,184,Lucknow,0
CMP_100265,2024-10-20 02:47:22,Phishing,66690.2,Kolkata,281,Kolkata,0
CMP_100266,2024-12-07 14:03:09,Online Shopping Scam,46439.91,Hyderabad,225,Hyderabad,0
CMP_100267,2023-04-26 02:39:34,UPI Fraud,9449.62,Jaipur,86,Jaipur,0
CMP_100268,2024-07-07 03:29:25,Credit Card Fraud,301738.66,Kolkata,1283,Kolkata,0
CMP_100269,2023-12-19 09:52:06,UPI Fraud,80178.42,Delhi,60,Delhi,1
CMP_100270,2024-10-24 09:12:31,Phishing,47734.63,Jaipur,1189,Bengaluru,0
CMP_100271,2023-06-17 00:19:13,Phishing,77777.23,Mumbai,527,Mumbai,0
CMP_100272,2024-10-04 16:12:44,Credit Card Fraud,225973.75,Mumbai,911,Pune,0
CMP_100273,2023-08-31 18:19:24,OTP Scam,11195.17,Jaipur,90,Jaipur,0
CMP_100274,2023-04-29 13:23:44,OTP Scam,94665.43,Lucknow,65,Lucknow,1
CMP_100275,2023-03-14 09:56:06,UPI Fraud,64755.95,Delhi,100,Kolkata,1
CMP_100276,2024-03-08 03:42:08,Online Shopping Scam,84139.1,Kolkata,310,Kolkata,0
CMP_100277,2024-11-09 13:13:18,Fake Loan App,23277.04,Kolkata,926,Bengaluru,0
CMP_100278,2024-07-14 02:38:43,UPI Fraud,67517.38,Jaipur,44,Mumbai,1
CMP_100279,2023-06-15 05:14:19,UPI Fraud,57374.91,Bengaluru,113,Bengaluru,1
CMP_100280,2023-10-13 02:36:04,Fake Loan App,126709.56,Mumbai,523,Bengaluru,0
CMP_100281,2024-10-18 10:50:02,UPI Fraud,72504.43,Jaipur,103,Hyderabad,1
CMP_100282,2024-05-14 04:46:50,Online Shopping Scam,14967.1,Kolkata,1307,Mumbai,0
CMP_100283,2024-10-06 06:16:11,Phishing,9465.34,Kolkata,119,Kolkata,0
CMP_100284,2024-06-29 19:15:16,OTP Scam,13154.91,Bengaluru,48,Bengaluru,0
CMP_100285,2023-05-21 21:38:40,Credit Card Fraud,216498.03,Mumbai,1219,Mumbai,0
CMP_100286,2023-02-24 22:05:58,Online Shopping Scam,62851.37,Lucknow,1146,Lucknow,0
